广东频道,#genre#
广东体育,http://113.100.72.95:8899/udp/239.77.0.112:5146
广东体育,http://218.13.170.98:9901/tsfile/live/0019_1.m3u8
广东体育,http://php.jdshipin.com:8880/chudian.php?id=gdty
广东体育,http://116.21.123.201:8000/udp/239.77.1.97:5146
广东体育,http://113.100.72.95:8899/udp/239.77.0.168:5146
广东体育,http://219.135.208.218:8083/tsfile/live/1000_1.m3u8
广东体育,http://gmxw.7766.org:808/hls/2/index.m3u8
广东体育,http://angtv.cc/jd/gdlz.php?id=dgty
广东体育,http://api2.52tb.xyz/info?id=414&token=20230326xflvzc
广东体育,http://r.jdshipin.com/LiYdg
广州新闻,http://www.namewee.xyz/gudou.php?id=gzhouzongheHD
广州新闻,https://justsometime.gztv.com/sec/xinwen.m3u8
广州竞赛,http://www.namewee.xyz/gudou.php?id=gzfilmsgaoqing
广州影视,https://justsometime.gztv.com/sec/yingshi.m3u8
广州影视,http://www.namewee.xyz/gudou.php?id=gzcompetitiongaoqing
佛山综合,http://www.namewee.xyz/gudou.php?id=foshanzongheHD_4500
佛山公共,http://www.namewee.xyz/gudou.php?id=foshangonggongHD_4500
佛山影视,http://www.namewee.xyz/gudou.php?id=foshanyingshiHD_4500
珠海,http://113.86.204.95:9999/udp/239.77.0.155:5146
深圳卫视,http://219.147.3.106:4455/newlive/live/hls/25/live.m3u8
深圳卫视,http://58.220.219.14:9901/tsfile/live/0126_1.m3u8?key=txiptv
深圳卫视,http://218.13.170.98:9901/tsfile/live/1005_1.m3u8
深圳卫视,http://115.149.139.141:10001/tsfile/live/1032_1.m3u8
深圳卫视,http://125.210.152.19:9123/live/hzgq-szwsgq-h264.m3u8
深圳卫视,http://111.75.151.236:50085/newlive/live/hls/26/live.m3u8
深圳卫视,http://222.240.82.92:9901/tsfile/live/0126_1.m3u8
深圳卫视,http://39.134.24.165/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226205/1.m3u8
深圳卫视,http://61.182.33.218:8000/hls/21/index.m3u8
深圳卫视,http://gmxw.7766.org:808/hls/45/index.m3u8
深圳卫视,http://php.jdshipin.com:8880/bst.php?id=szwshd/4000000

央视频道,#genre#
CCTV-1,http://14.117.233.245:9000/udp/239.77.0.188:5146
CCTV-1,http://123.145.79.12:8001/udp/225.0.4.74:7980
CCTV-1,http://183.164.47.117:4022/rtp/238.1.79.35:4392
CCTV-1,http://123.149.206.177:8800/rtp/239.16.20.1:10010
CCTV-1,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225785/1.m3u8
CCTV-1,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226921/index.m3u8
CCTV-1,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225785/index.m3u8
CCTV-1,http://221.15.7.42:8888/rtp/225.1.4.73:1102
CCTV-1,http://121.24.99.30:8090/hls/9/index.m3u8
CCTV-1,http://110.240.239.100:8888/rtp/239.253.92.83:8012
CCTV-1,http://119.118.170.190:8888/rtp/232.0.0.15:1234
CCTV-1,http://stream.smntv.cn/smtv1/sd/live.m3u8
CCTV-1,http://110.7.130.123:8096/tsfile/live/0014_2.m3u8
CCTV-1,http://62.210.209.138:41000/series/v52/v43/6818.mp4
CCTV-1,http://117.141.149.101:4431/tsfile/live/faacts/1010_1.m3u8
CCTV-2,http://112.114.137.121:888/hls/2/index.m3u8
CCTV-2,http://220.178.185.92:4022/rtp/238.1.78.235:7752
CCTV-2,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226224/1.m3u8
CCTV-2,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226195/index.m3u8
CCTV-2,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226195/1.m3u8
CCTV-2,http://111.11.98.205:9900/hls/2/index.m3u8
CCTV-2,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226195/index.m3u8?
CCTV-2,http://223.109.210.41/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225612/index.m3u8
CCTV-2,http://angtv.cc/jd/gdlz.php?id=cctv2
CCTV-2,https://live.goodiptv.club/api/bestv.php?id=cctv2hd8m/8000000
CCTV-2,https://cntv.lat/tv/live.php?auth=231110&id=cctv2
CCTV-3,http://114.100.195.107:4022/rtp/238.1.78.170:7232
CCTV-3,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226397/1.m3u8
CCTV-3,http://114.252.225.231:8000/rtp/239.3.1.172:8001
CCTV-3,http://111.126.255.2:808/hls/103/index.m3u8
CCTV-3,http://angtv.cc/jd/gdlz.php?id=cctv3
CCTV-3,http://223.109.210.41/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225611/index.m3u8
CCTV-3,https://cntv.lat/tv/live.php?auth=231110&id=cctv3
CCTV-3,https://live.goodiptv.club/api/bestv.php?id=cctv38m/8000000
CCTV-4,http://lu1.cc/itv/php/cctv4k.php
CCTV-4,http://121.235.191.182:12999/hls/4/index.m3u8
CCTV-4,http://159.75.85.63:5679/cctv4k.php
CCTV-4,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226191/index.m3u8
CCTV-4,http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226191/index.m3u8
CCTV-4,https://global.cgtn.cicc.media.caton.cloud/master/cgtn-america.m3u8
CCTV-4,http://113.86.205.10:808/hls/116/index.m3u8
CCTV-4,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226191/1.m3u8
CCTV-4,http://angtv.cc/jd/gdlz.php?id=cctv4
CCTV-4,http://223.109.210.41/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225610/index.m3u8
CCTV-4,https://cntv.lat/tv/live.php?auth=231110&id=cctv4k
CCTV-4,https://cntv.lat/tv/live.php?auth=231110&id=cctv4
CCTV-4,https://live.goodiptv.club/api/bestv.php?id=cctv4hd8m/8000000
CCTV-4,https://live.goodiptv.club/api/bestv.php?id=cctv4k/15000000
CCTV-4,https://live.v1.mk/api/bestv.php?id=cctv4k/15000000
CCTV-5,http://114.249.19.38:4022/rtp/239.3.1.173:8001
CCTV-5,http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8
CCTV-5,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225761/index.m3u8
CCTV-5,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226395/1.m3u8
CCTV-5,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226395/1.m3u8
CCTV-5,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225761/1.m3u8
CCTV-5,http://angtv.cc/jd/gdlz.php?id=cctv5p
CCTV-5,http://angtv.cc/jd/gdlz.php?id=cctv5
CCTV-5,http://223.109.210.41/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225489/index.m3u8
CCTV-5,http://223.109.210.41/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225494/index.m3u8
CCTV-5,https://live.goodiptv.club/api/bestv.php?id=cctv5phd8m/8000000
CCTV-5,https://live.goodiptv.club/api/bestv.php?id=cctv5hd8m/8000000
CCTV-5,https://cntv.lat/tv/live.php?auth=231110&id=cctv5p
CCTV-5+,http://114.249.19.38:4022/rtp/239.3.1.173:8001
CCTV-5+,http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8
CCTV-5+,http://xxw.me0.cn/api/migu.php?id=8
CCTV-5+,https://piccpndali.v.myalicdn.com/audio/cctv5_2.m3u8
CCTV-5+,https://live.goodiptv.club/api/bestv.php?id=cctv58m/8000000
CCTV-6,http://117.141.149.101:4431/tsfile/live/faacts/0006_1.m3u8
CCTV-6,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226393/1.m3u8
CCTV-6,http://123.112.246.1:5555/rtp/239.3.1.174:8001
CCTV-6,http://110.7.130.110:9901/tsfile/live/0006_1.m3u8
CCTV-6,http://110.7.130.246:9901/tsfile/live/0006_1.m3u8
CCTV-6,http://angtv.cc/jd/gdlz.php?id=cctv6
CCTV-6,http://223.109.210.41/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225609/index.m3u8
CCTV-6,https://live.goodiptv.club/api/bestv.php?id=cctv6hd8m/8000000
CCTV-7,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226192/index.m3u8
CCTV-7,http://222.240.82.92:9901/tsfile/live/0007_1.m3u8
CCTV-7,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226192/1.m3u8
CCTV-7,http://1.195.111.251:11190/tsfile/live/0007_1.m3u8
CCTV-7,https://piccpndali.v.myalicdn.com/audio/cctv7_2.m3u8
CCTV-7,http://ainm.cc/a/play/php/gehua.php?id=cctv7
CCTV-7,http://angtv.cc/jd/gdlz.php?id=cctv7
CCTV-7,https://cd-live-stream.news.cctvplus.com/live/smil:CHANNEL1.smil/playlist.m3u8
CCTV-7,http://xxw.me0.cn/api/migu.php?id=10
CCTV-7,http://223.109.210.41/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221226002/index.m3u8
CCTV-7,https://live.goodiptv.club/api/bestv.php?id=cctv7hd8m/8000000
CCTV-8,http://220.178.185.92:4022/rtp/238.1.78.173:7256
CCTV-8,http://121.24.98.185:8090/hls/16/index.m3u8
CCTV-8,http://xxw.me0.cn/api/migu.php?id=11
CCTV-8,http://117.141.149.101:9901/tsfile/live/0008_1.m3u8
CCTV-8,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226391/1.m3u8
CCTV-8,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226012/1.m3u8
CCTV-8,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226012/index.m3u8
CCTV-8,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226012/1.m3u8
CCTV-8,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226391/1.m3u8
CCTV-8,http://1.195.111.251:11190/tsfile/live/0008_1.m3u8
CCTV-8,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226012/index.m3u8?
CCTV-8,https://piccpndali.v.myalicdn.com/audio/cctv8_2.m3u8
CCTV-8,http://223.109.210.41/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225492/index.m3u8
CCTV-8,http://angtv.cc/jd/gdlz.php?id=cctv8
CCTV-8,https://live.goodiptv.club/api/bestv.php?id=cctv8hd8m/8000000
CCTV-9,http://121.24.99.52:8090/hls/17/index.m3u8
CCTV-9,https://streamcdnb1-dd782ed59e2a4e86aabf6fc508674b59.msvdn.net/live/S3160845/0tuSetc8UFkF/playlist_video.m3u8
CCTV-9,http://14.155.226.57:8888/hls/5/index.m3u8
CCTV-9,http://xxw.me0.cn/api/migu.php?id=12
CCTV-9,https://news.cgtn.com/resource/live/english/cgtn-news.m3u8
CCTV-9,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226197/index.m3u8
CCTV-9,https://cd-live-stream.news.cctvplus.com/live/smil:CHANNEL1.smil/playlist.m3u8
CCTV-9,http://222.240.82.92:9901/tsfile/live/0009_1.m3u8
CCTV-9,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226197/1.m3u8
CCTV-9,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226197/1.m3u8
CCTV-9,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226197/index.m3u8?
CCTV-9,http://1.195.111.251:11190/tsfile/live/0009_1.m3u8
CCTV-9,https://piccpndali.v.myalicdn.com/audio/cctv9_2.m3u8
CCTV-9,http://angtv.cc/jd/gdlz.php?id=cctv9
CCTV-9,https://live.goodiptv.club/api/bestv.php?id=cctv9hd8m/8000000
CCTV-12,http://xxw.me0.cn/api/migu.php?id=15
CCTV-12,http://222.240.82.92:9901/tsfile/live/0012_1.m3u8
CCTV-12,http://1.195.111.251:11190/tsfile/live/0012_1.m3u8
CCTV-12,https://piccpndali.v.myalicdn.com/audio/cctv12_2.m3u8
CCTV-12,http://ainm.cc/a/play/php/gehua.php?id=cctv12
CCTV-12,http://angtv.cc/jd/gdlz.php?id=cctv12
CCTV-12,http://223.109.210.41/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225605/index.m3u8
CCTV-12,https://cntv.lat/tv/live.php?auth=231110&id=cctv12
CCTV-17,http://xxw.me0.cn/api/migu.php?id=19
CCTV-17,https://piccpndali.v.myalicdn.com/audio/cctv17_2.m3u8
CCTV-17,http://stream1.jlntv.cn/xcpd/sd/live.m3u8
CCTV-17,http://ainm.cc/a/play/php/gehua.php?id=cctv17
CCTV-17,http://218.13.170.98:9901/tsfile/live/0016_1.m3u8
CCTV-17,http://223.109.210.41/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225608/index.m3u8
CCTV-17,http://62.210.209.138:41000/series/v52/v43/6891.mp4
CCTV-17,http://62.210.209.138:41000/series/v52/v43/8058.mp4
CCTV-17,http://listplay4k.live:8080/play/sEqGlXBK924GUbV9yuY_SE-NqejOBHvsvoaAvbJWVAkq3EfVoNKe7gLLB5X1KwhI/ts
CCTV-17,https://cntv.lat/tv/live.php?auth=231110&id=cctv17

卫视频道,#genre#
大湾区卫视,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226218/index.m3u8
大湾区卫视,http://223.10.24.101:8085/udp/239.1.1.69:8069
大湾区卫视,http://gmxw.7766.org:808/hls/132/index.m3u8
大湾区卫视,http://38.64.72.148/hls/modn/list/4011/chunklist0.m3u8
湖北卫视,http://219.147.3.106:4455/newlive/live/hls/32/live.m3u8
湖北卫视,http://58.220.219.14:9901/tsfile/live/0132_1.m3u8?key=txiptv
湖北卫视,http://111.75.151.236:50085/newlive/live/hls/27/live.m3u8
湖北卫视,http://xxw.me0.cn/api/migu.php?id=24
湖北卫视,http://125.210.152.19:9123/live/hzgq-hbwsgq-h264.m3u8
湖北卫视,http://php.jdshipin.com:8880/bst.php?id=hbwshd/4000000
黑龙江卫视,http://111.75.151.236:50085/newlive/live/hls/32/live.m3u8
黑龙江卫视,http://125.210.152.19:9123/live/hzgq-hljwsgq-h264.m3u8
黑龙江卫视,http://58.220.219.14:9901/tsfile/live/0143_1.m3u8?key=txiptv
黑龙江卫视,http://219.147.3.106:4455/newlive/live/hls/28/live.m3u8
黑龙江卫视,http://221.210.64.165:2233/hls/1/index.m3u8
黑龙江卫视,http://218.13.170.98:9901/tsfile/live/1006_1.m3u8
黑龙江卫视,http://php.jdshipin.com:8880/bst.php?id=hljwshd8m/8000000
黑龙江卫视,http://php.jdshipin.com:8880/bst.php?id=hljwshd/4000000
东南卫视,http://219.147.3.106:4455/newlive/live/hls/29/live.m3u8
东南卫视,http://111.75.151.236:50085/newlive/live/hls/33/live.m3u8
东南卫视,http://125.210.152.19:9123/live/hzgq-fjwsgq-h264.m3u8
东南卫视,http://113.57.109.36:9901/tsfile/live/0137_1.m3u8
东南卫视,http://39.134.24.165/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225766/1.m3u8
东南卫视,http://61.182.33.218:8000/hls/33/index.m3u8
东南卫视,http://iptv123.msns.cn:9901/tsfile/live/0137_1.m3u8
东南卫视,http://angtv.cc/test/lngd.php?id=483
东南卫视,http://php.jdshipin.com:8880/bst.php?id=dnwshd/4000000

港·澳·台,#genre#

